u_s sdss_u.dat  0.   12.4757864 sloan u at APO
g_s sdss_g.dat  0.   14.2013159905 sloan g at APO
r_s sdss_r.dat  0.   14.2156544329 sloan r at APO
i_s sdss_i.dat  0.   13.7775438954 sloan i at APO
z_s sdss_z.dat  0.   11.8525822106 sloan z at APO
