# see http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=Swift  http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2966.2007.12563.x/full
UVM2   Swift-UVOT.UVM2.dat    0.    16.82 UVM2 band from Swift UVOT
UVW1   Swift-UVOT.UVW1.dat    0.    17.49 UVW1 band from Swift UVOT
UVW2   Swift-UVOT.UVW2.dat    0.    17.35 UVW2 band from Swift UVOT
U_UVOT Swift-UVOT.U.dat   0.    18.34 U band from Swift UVOT
B_UVOT Swift-UVOT.B.dat   0.    19.11 B band from Swift UVOT
V_UVOT Swift-UVOT.V.dat   0.    17.89 V band from Swift UVOT
