U_bes    U-bessell.dat   0.748   -13.90  U Bessell
B_bes    B-bessell.dat  -0.174  -13.00   B Bessell
V_bes    V-bessell.dat   -0.0028   -13.72  V Bessell
R_bes    R-bessell.dat  0.18   -13.66  R Bessell
I_bes    I-bessell.dat  0.38    -14.42  I Bessell





